********* TRAJECTORY OUTPUT DATA *********
** Output Format:
** simulation_start_time
** 
** AC,flight_index,callsign,actype,origin_airport,destination_airport,start_time,simulation_interval_ground,simulation_interval_airborne,cruise_altitude_ft,cruise_tas_knots,origin_airport_elevation_ft,destination_airport_elevation_ft,number_of_trajectory_rec
** timestamp(UTC sec),latitude,longitude,altitude_ft,rocd_fps,tas_knots,tas_knots_ground,course,fpa,sector_index,sector_name,flight_phase

1121238067

AC,0,SWA1897,MD82,KLAX,KSFO,0,1,30,33000,442,128,13,4
0,35.0499992370605469,-120.383331298828125,32000,-18.6666660308837891,465,474.086273193359375,315,-2.30066370964050293,2579,ZLA2500M1,FLIGHT_PHASE_INITIAL_DESCENT
30,35.0874862670898438,-120.371986389160156,31440,-18.6666660308837891,444,470.534454345703125,13.9077787399291992,-2.30066370964050293,2579,ZLA2500M1,FLIGHT_PHASE_INITIAL_DESCENT
60,35.1067695617675781,-120.331146240234375,13,0,445.1199951171875,470.055572509765625,60,0,218,ZLASBN01M1,FLIGHT_PHASE_TOUCHDOWN
90,35.1248130798339844,-120.292922973632812,13,0,80.499114990234375,80.499114990234375,60,0,218,ZLASBN01M1,FLIGHT_PHASE_OUTOFRUNWAY

AC,1,SWA1898,B733,KLAX,KEWR,600,1,30,33000,430,128,17,380
600,33.9467239379882812,-118.410049438476562,128,0,0,0,71,0,229,ZLALAX00M6,FLIGHT_PHASE_ORIGIN_GATE
630,33.9467239379882812,-118.410049438476562,128,0,0,0,-162.941268920898438,0,229,ZLALAX00M6,FLIGHT_PHASE_ORIGIN_GATE
660,33.9467239379882812,-118.410049438476562,128,0,0,0,-162.941268920898438,0,229,ZLALAX00M6,FLIGHT_PHASE_ORIGIN_GATE
690,33.9471168518066406,-118.409904479980469,128,0,5,5,-163.121673583984375,0,229,ZLALAX00M6,FLIGHT_PHASE_PUSHBACK
720,33.9474029541015625,-118.410125732421875,128,0,18,18,-96.9424285888671875,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
750,33.9472122192382812,-118.411888122558594,128,0,18,18,-98.3477554321289062,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
780,33.9460792541503906,-118.412666320800781,128,0,18,18,176.115219116210938,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
810,33.9449729919433594,-118.412567138671875,128,0,5,5,173.055343627929688,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
840,33.9445648193359375,-118.412506103515625,128,0,5,5,173.151718139648438,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
870,33.9441566467285156,-118.412445068359375,128,0,5,5,173.293212890625,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
900,33.9437484741210938,-118.412391662597656,128,0,5,5,172.702133178710938,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
930,33.9433403015136719,-118.412330627441406,128,0,5,5,172.567291259765625,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
960,33.94293212890625,-118.412261962890625,128,0,5,5,172.392776489257812,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
990,33.9425239562988281,-118.412200927734375,128,0,5,5,172.709625244140625,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1020,33.9421157836914062,-118.412139892578125,128,0,5,5,173.309921264648438,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1050,33.9417076110839844,-118.412078857421875,128,0,5,5,173.253753662109375,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1080,33.9412994384765625,-118.412025451660156,128,0,5,5,173.228302001953125,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1110,33.9408912658691406,-118.411964416503906,128,0,5,5,173.217178344726562,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1140,33.9404830932617188,-118.411903381347656,128,0,5,5,172.941802978515625,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1170,33.9400749206542969,-118.411842346191406,128,0,5,5,173.298614501953125,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1200,33.939666748046875,-118.411788940429688,128,0,5,5,173.432388305664062,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1230,33.9393081665039062,-118.411582946777344,128,0,5,5,140.41180419921875,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1260,33.9389915466308594,-118.411270141601562,128,0,5,5,140.431900024414062,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1290,33.9386749267578125,-118.410957336425781,128,0,5,5,140.2855224609375,0,229,ZLALAX00M6,FLIGHT_PHASE_RAMP_DEPARTING
1320,33.9385833740234375,-118.409996032714844,128,0,18,18,82.7368850708007812,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1350,33.9387664794921875,-118.408226013183594,128,0,18,18,82.2901840209960938,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1380,33.9381980895996094,-118.406669616699219,128,0,18,18,123.357437133789062,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1410,33.9382781982421875,-118.404922485351562,128,0,18,18,82.9767532348632812,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1440,33.9384574890136719,-118.403152465820312,128,0,18,18,83.0296783447265625,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1470,33.9386405944824219,-118.401390075683594,128,0,18,18,82.79345703125,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1500,33.9388236999511719,-118.399627685546875,128,0,18,18,83.1603012084960938,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1530,33.9390029907226562,-118.397857666015625,128,0,18,18,82.7837677001953125,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1560,33.9391822814941406,-118.396087646484375,128,0,18,18,83.23333740234375,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1590,33.9393577575683594,-118.394317626953125,128,0,18,18,83.2138519287109375,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1620,33.9395408630371094,-118.392547607421875,128,0,18,18,82.8314590454101562,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1650,33.9397239685058594,-118.390777587890625,128,0,18,18,82.9193038940429688,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1680,33.9399070739746094,-118.389007568359375,128,0,18,18,82.8019561767578125,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1710,33.9400901794433594,-118.387237548828125,128,0,18,18,82.9910430908203125,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1740,33.9402694702148438,-118.385467529296875,128,0,18,18,83.0255966186523438,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1770,33.9404449462890625,-118.383705139160156,128,0,18,18,83.8557052612304688,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1800,33.9393196105957031,-118.3831787109375,128,0,18,18,172.109817504882812,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1830,33.9378547668457031,-118.382949829101562,128,0,18,18,172.960037231445312,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1860,33.9373397827148438,-118.38287353515625,128,0,18,18,173.227294921875,0,229,ZLALAX00M6,FLIGHT_PHASE_TAXI_DEPARTING
1890,33.9373397827148438,-118.38287353515625,128,0,0,0,-97.0026397705078125,0,229,ZLALAX00M6,FLIGHT_PHASE_RUNWAY_THRESHOLD_DEPARTING
1920,33.9373397827148438,-118.38287353515625,128,0,0,0,-97.0026397705078125,0,229,ZLALAX00M6,FLIGHT_PHASE_RUNWAY_THRESHOLD_DEPARTING
1950,33.9373397827148438,-118.38287353515625,128,0,0,0,-97.0026397705078125,0,229,ZLALAX00M6,FLIGHT_PHASE_RUNWAY_THRESHOLD_DEPARTING
1980,33.9371299743652344,-118.384925842285156,128,0,41.7222023010253906,41.7222023010253906,-96.99163818359375,0,229,ZLALAX00M6,FLIGHT_PHASE_TAKEOFF
2010,33.9365043640136719,-118.391075134277344,128,0,83.4444046020507812,83.4444046020507812,-96.99176025390625,0,229,ZLALAX00M6,FLIGHT_PHASE_TAKEOFF
2040,33.9354591369628906,-118.401321411132812,128,0,125.166610717773438,125.166610717773438,-96.9954452514648438,0,229,ZLALAX00M6,FLIGHT_PHASE_TAKEOFF
2070,33.9338531494140625,-118.417076110839844,1515.4400634765625,46.2480010986328125,166.888809204101562,160.35272216796875,-96.998809814453125,16.0883121490478516,229,ZLALAX00M6,FLIGHT_PHASE_TAKEOFF
2100,33.932037353515625,-118.434883117675781,2949.97705078125,47.8178939819335938,166.0308837890625,160.272079467773438,-97.0070037841796875,16.738616943359375,229,ZLALAX00M6,FLIGHT_PHASE_TAKEOFF
2130,33.930145263671875,-118.453239440917969,4662.27099609375,68.86199951171875,234.048629760742188,234.5733642578125,-97.3901290893554688,17.1108245849609375,227,ZLALAX00M4,FLIGHT_PHASE_CLIMBOUT
2160,33.9196090698242188,-118.472366333007812,6834.10498046875,72.6155319213867188,246.649765014648438,246.787429809570312,-127.004348754882812,17.12200927734375,227,ZLALAX00M4,FLIGHT_PHASE_CLIMBOUT
2190,33.9066123962402344,-118.493011474609375,9184.9013671875,74.8665084838867188,284.4185791015625,278.81982421875,-128.745315551757812,15.2615985870361328,224,ZLALAX00M1,FLIGHT_PHASE_CLIMBOUT
2220,33.8922691345214844,-118.514541625976562,10000,27.1699542999267578,285.332061767578125,280.276611328125,-128.747879028320312,5.46411037445068359,224,ZLALAX00M1,FLIGHT_PHASE_CLIMBOUT
2250,33.87811279296875,-118.535774230957031,12190,73,289,284.5743408203125,-128.76092529296875,14.6311330795288086,224,ZLALAX00M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
2280,33.86016845703125,-118.562675476074219,14282.1748046875,69.739166259765625,356.95001220703125,355.6478271484375,-128.771087646484375,11.2666406631469727,253,ZLA1814M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
2310,33.8329887390136719,-118.557472229003906,16224.0703125,64.7103347778320312,368.25421142578125,352.440887451171875,167.34173583984375,10.1206722259521484,253,ZLA1814M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
2340,33.8042259216308594,-118.549697875976562,18037.265625,60.4398231506347656,378.232391357421875,363.724151611328125,167.345077514648438,9.19502544403076172,253,ZLA1814M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
2370,33.7745361328125,-118.541679382324219,19714.564453125,55.909942626953125,388.223602294921875,374.462310791015625,167.350357055664062,8.28023242950439453,232,ZLA2214M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
2400,33.7440452575683594,-118.533454895019531,21270.2578125,51.8564682006835938,398.287384033203125,383.79266357421875,167.356094360351562,7.48107051849365234,233,ZLA2200M1,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
